RM,name,address,phone,email,url,description,category,custom_field_1,custom_field_2,custom_field_3,image_url,latitude,longitude,store_id,tier,custom_marker_url,hidden,GeoLocation,ID,NavContactID,NavCustomerID,DealerOrgNo
,Bejac Corporation,"5461 S. Nikita Ave., Fresno, CA, 93725",800-77-23522,,http://bejac.com,,,,,,,36.65656281,-119.7148895,9566586,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\nTB@\x00\x00\x00\xc0\xc0\xed]\xc0',14,D517204,,10
,Bennett Equipment & Supply,"1403 Piedmont Hwy, Piedmont, SC, 29673",864-277-7272,,http://bennettequipment.net,,,,,,,34.76864243,-82.43253326,9566584,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0bbA@\x00\x00\x00\xa0\xae\x9bT\xc0',15,D400102,,11
,Boyd Equipment LTD,"1671 Route 105, Maugerville, NB, E3A 8J5",506-357-0211,,http://www.boydequipment.net/default.htm,,,,,,,45.88569641,-66.41458893,9566591,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80^\xf1F@\x00\x00\x00\xa0\x88\x9aP\xc0',16,D400107,,11
,Central Texas Heavy Equipment,"1401 Central Commerce Circle, Pflugerville, TX, 78660",512-442-2371,,http://ctegroup.net,,,,,,,30.45183372,-97.65637207,9566592,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`\xabs>@\x00\x00\x00\x00\x02jX\xc0',17,D400028,,17
Dave Seater,Chadwick-Baross Inc.,"15 Katrina Rd, Chelmsford, MA, 1824",978-256-9571,,http://chadwick-baross.com,,,,,,,42.60804367,-71.33330536,9566593,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`\xd4ME@\x00\x00\x00\xe0T\xd5Q\xc0',18,D507006,,18
Dave Seater,Chadwick-Baross Inc.,"33 Plan Way, Building 8, Warwick, RI, 2886",401-640-9303,,http://chadwick-baross.com,,,,,,,41.73591614,-71.44754791,9566594,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x802\xdeD@\x00\x00\x00\xa0\xa4\xdcQ\xc0',19,D507008,,18
Dave Seater,Chappell Tractor East LLC,"251 Route 125, Brentwood, NH, 03833-6026",603-642-5666,,http://lbxco.chappelltractor.com/home_lbxco.asp,,,,,,,42.98886108,-71.07927704,9566595,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00\x93~E@\x00\x00\x00\xe0\x12\xc5Q\xc0',20,D507700,,19
Dave Seater,Chappell Tractor Sales Inc,"454 Route 13 South, Milford, NH, 3055",800-698-2640,,http://lbxco.chappelltractor.com/home_lbxco.asp,,,,,,,42.81329727,-71.64651489,9566596,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \x1ahE@\x00\x00\x00\x80`\xe9Q\xc0',21,D507600,,19
,Christofano Equipment Co,"9643 Harlem Ave, Chicago Ridge, IL, 60415",708-425-6466,,http://christofano.com,,,,,,,41.71615601,-87.79776001,9566597,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00\xab\xdbD@\x00\x00\x00\x80\x0e\xf3U\xc0',22,D400188,,20
Zack Shimon,Cisco Equipment,"2707 Slaton Hwy, Lubbock, TX, 79404",877-745-9595,,http://ciscoeq.com,,,,,,,33.5268364,-101.8055573,9566600,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`o\xc3@@\x00\x00\x00@\x8esY\xc0',23,D507403,,21
Zack Shimon,Cisco Equipment,"620 North Bell Street, San Angelo, TX, 76903",325-653-2121,,http://www.cisco-equipment.com,,,,,,,31.47426987,-100.4126587,9566599,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0iy?@\x00\x00\x00\x00i\x1aY\xc0',24,D507401,,21
Zack Shimon,Cisco Equipment,"520 E. Loop 338, Odessa, TX, 79762",432-367-9181,,http://ciscoeq.com,,,,,,,31.86904144,-102.3045959,9566601,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80y\xde?@\x00\x00\x00\x80~\x93Y\xc0',25,D507400,,21
Zack Shimon,Cisco Equipment NM Sales LLC,"1706 South First Street, Artesia, NM, 88210",800-748-1846,,http://ciscoeq.com,,,,,,,32.82261658,-104.3960571,9566598,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80Ki@@\x00\x00\x00\x00Y\x19Z\xc0',26,D507402,,21
,CJ Logging Equipment Inc. (Forestry Dealer Only),"5445 NYS Route 353, Little Valley, NY, 14755",800-541-4214,,http://www.cjlogequip.com,,,,,,,42.24150085,-78.77957916,9566603,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80\xe9\x1eE@\x00\x00\x00\xa0\xe4\xb1S\xc0',27,D400112,,22
,CJ Logging Equipment Inc. (Forestry Dealer Only),"17153 US Route 15, Allenwood, PA, 17810",800-541-4214,,http://www.cjlogequip.com,,,,,,,41.11046982,-76.9018631,9566604,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0#\x8eD@\x00\x00\x00 \xb89S\xc0',28,D400113,,22
,CJ Logging Equipment Inc. (Forestry Dealer Only),"8730 Industrial Drive, Boonville, NY, 13309",800-541-4214,,http://www.cjlogequip.com,,,,,,,43.47017288,-75.3074646,9566602,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0.\xbcE@\x00\x00\x00\x80\xad\xd3R\xc0',29,D400111,,22
,Clark Machinery - Ft Smith,"3411 Zero St, Fort Smith, AR, 72908",479-646-4345,,http://clarkmachinerycompany.com,,,,,,,35.32837677,-94.39640808,9566605,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\x08\xaaA@\x00\x00\x00\xc0^\x99W\xc0',30,D506401,,23
,Clark Machinery - Little Rock,"11525 Mabelvale Rd West, Mabelvale, AR, 72103",501-455-4200,,http://clarkmachinerycompany.com,,,,,,,34.65403366,-92.40650177,9566606,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`\xb7SA@\x00\x00\x00 \x04\x1aW\xc0',31,D506400,,23
,Construction Machinery Company,"2235 Ragu Drive, Owensboro, KY, 42303",270-683-2000,,http://www.cmcky.com/,,,,,,,37.76106262,-87.07308197,9566609,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80j\xe1B@\x00\x00\x00`\xad\xc4U\xc0',32,D410003,,27
,Construction Machinery Company,"6104 Sable Mill Court, Jeffersonville, IN 47130",812-850-6160,,http://www.cmcky.com/,,,,,,,38.35231781,-85.74172974,0,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\x18-C@\x00\x00\x00\x80xoU\xc0',33,D430003,,27
,Construction Machinery Company,"2911 S. English Station Rd., Louisville, KY, 40299",502-267-4020,,http://www.cmcky.com/,,,,,,,38.19475937,-85.47127533,9566608,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xed\x18C@\x00\x00\x00`)^U\xc0',34,D400003,,27
,Construction Machinery Company,"267 West Jay Louden Road, Carrollton, KY, 41008",502-732-4661,,http://www.cmcky.com/,,,,,,,38.6669426,-85.13898468,9566610,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`^UC@\x00\x00\x00 \xe5HU\xc0',35,D420003,,27
Landon Boyer,Contractors Sales Company Inc,"121 Karner Road, Albany, NY, 12205-5501",518-456-1445,,http://lbxco.contractorssales.com,,,,,,,42.72418976,-73.85931396,9566611,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\xb2\\E@\x00\x00\x00\x00\xffvR\xc0',36,D507100,,28
,Crosby Equipment Company Inc.,"1826 South Peterson Avenue, Douglas, GA, 31533",912-384-4664,,http://crosbyequipmentco.com,,,,,,,31.47669029,-82.84951782,9566612,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`\x08z?@\x00\x00\x00\x80^\xb6T\xc0',37,D400108,,29
,Crosby Equipment Company Inc.,"5368 Hawkinsville Road, Macon, GA, 31216",478-257-8300,,http://crosbyequipmentco.com,,,,,,,32.75398636,-83.65960693,9566613,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\x82`@@\x00\x00\x00\x007\xeaT\xc0',38,D400109,,29
,Cumberland Tractor & Equipment,"3570 Dickerson Road, Nashville, TN, 37207",866-902-7800,,http://cumberland-tractor.com,,,,,,,36.25662994,-86.75997162,9566615,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\xd9 B@\x00\x00\x00`\xa3\xb0U\xc0',39,D400099,,30
,Equipement JYL Inc.,"926 du Royaume Boulevard West, Chicoutimi, QC, G7H 5B1",418-698-6656,,http://equipementjyl.com,,,,,,,48.38415527,-71.10263824,9566619,,,,"b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00,1H@\x00\x00\x00\xa0\x91\xc6Q\xc0'",40,D400191,,38
,Equipment Sales & Service Ltd,"2111 80th Avenue, Edmonton, AB, T6P 1N3",780-440-4010,,http://essltd.com,,,,,,,53.51573944,-113.378952,9566620,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\x03\xc2J@\x00\x00\x00\xc0@X\\\xc0',41,D500304,,39
,George & Swede Sales & Service,"7155 Big Tree Road, Pavilion, NY, 14525",585-584-3425,,http://georgeandswede.com,,,,,,,42.86522675,-78.00901031,9566622,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\xbfnE@\x00\x00\x00\xa0\x93\x80S\xc0',42,D508500,,42
,GSX Inc.,"14790 St. Augustine Road, Jacksonville, FL, 32258",904-268-4400,,http://www.gsequipment.net,,,,,,,30.13993835,-81.52513885,9566625,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00\xd3#>@\x00\x00\x00\xe0\x9baT\xc0',43,D400054,,44
,GSX Inc.,"4555 Laredo Avenue, Ft. Myers, FL, 33905",239-334-6063,,http://www.gsequipment.net,,,,,,,26.64654541,-81.82111359,9566624,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x00\x84\xa5:@\x00\x00\x00 \x8dtT\xc0',44,D400057,,44
,GSX Inc.,"1010 Northwest 15th Avenue, Pompano Beach, FL, 33069",954-327-8808,,http://www.gsequipment.net,,,,,,,26.24041939,-80.14220428,9566623,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \x8c=:@\x00\x00\x00\xe0\x19\tT\xc0',45,D400056,,44
,GSX Inc.,"1301 Central Florida Pkwy, Orlando, FL, 32837",407-859-9160,,http://www.gsequipment.net,,,,,,,28.40711784,-81.39398193,9566626,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe08h<@\x00\x00\x00\x007YT\xc0',46,D400055,,44
,GSX Inc.,"32410 Blue Star Hwy, Midway, FL, 32343", 866-586-8956,,http://www.gsequipment.net,,,,,,,30.49379921,-84.43502045,10530762,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0i~>@\x00\x00\x00`\xd7\x1bU\xc0',47,D400058,,44
,GSX Inc.,"1023 S. 50th Street, Tampa, FL, 33619",813-248-4971,,http://www.gsequipment.net,,,,,,,27.93925095,-82.40253448,9566627,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0r\xf0;@\x00\x00\x00 \xc3\x99T\xc0',48,D400053,,44
,G.W. Van Keppel Company,"11475 Page Service Rd, St Louis, MO, 63146",314-872-8440,,http://vankeppel.com,,,,,,,38.70030975,-90.41863251,9566628,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\xa3YC@\x00\x00\x00\xe0\xca\x9aV\xc0',49,D400103,,41
Randy Phillips,Hawkins-Graves Inc.,"13432 Wards Road, Lynchburg, VA, 24501",434-847-7703,,http://hawkinsgraves.com,,,,,,,37.31093597,-79.18483734,9566630,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\xcc\xa7B@\x00\x00\x00`\xd4\xcbS\xc0',50,D400126,,45
,Hayden-Murphy Equipment Co,"9301 E Bloomington Freeway, Minneapolis, MN, 55420",952-884-2301,,http://hayden-murphy.com,,,,,,,44.83512497,-93.29458618,9566629,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`\xe5jF@\x00\x00\x00\x80\xdaRW\xc0',51,D506700,,46
Randy Phillips,Heavy Machines Inc.,"825 31st Street North, Birmingham, AL, 35203",205-323-6108,,http://heavymachinesinc.com,,,,,,,33.52989197,-86.7957077,9566631,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x80\xd3\xc3@@\x00\x00\x00\xe0\xec\xb2U\xc0',52,D400084,,47
Randy Phillips,Heavy Machines Inc.,"2115 North Thompson Lane, Murfreesboro, TN, 37129",615-306-9444,,http://heavymachinesinc.com,,,,,,,35.88227463,-86.42558289,10530763,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`\xee\xf0A@\x00\x00\x00\xc0<\x9bU\xc0',53,D400090,,47
Randy Phillips,Heavy Machines Inc.,"10110 Roberts Way, Covington, GA, 30014",770-788-0888,,http://heavymachinesinc.com,,,,,,,33.62076187,-83.85025024,9566632,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 u\xcf@@\x00\x00\x00\x80j\xf6T\xc0',54,D400089,,47
Randy Phillips,Heavy Machines Inc.,"364 Bob Jobe Road, Gray, TN, 37615",423-282-5462,,http://heavymachinesinc.com,,,,,,,36.43361282,-82.5202713,9566621,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\x807B@\x00\x00\x00 L\xa1T\xc0',55,D400086,,47
Randy Phillips,Heavy Machines Inc.,"5200 Hollywood Ave, Shreveport, LA, 71109",800-548-3458,,http://heavymachinesinc.com,,,,,,,32.45744705,-93.83230591,9566633,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\x8d:@@\x00\x00\x00\x80DuW\xc0',56,D400088,,47
Randy Phillips,Heavy Machines Inc.,"159 North Ave., Skowhegan, ME, 4976",888-875-3954,,http://heavymachinesinc.com,,,,,,,44.77505112,-69.71882629,9566634,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe04cF@\x00\x00\x00@\x01nQ\xc0',57,D400087,,47
Randy Phillips,Heavy Machines Inc.,"7651 Theodore Dawes Road, Theodore, AL, 36582",888-884-2388,,http://heavymachinesinc.com,,,,,,,30.57011032,-88.22264862,9566635,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\xf2\x91>@\x00\x00\x00\xe0?\x0eV\xc0',58,D400185,,47
Randy Phillips,Heavy Machines Inc.,"3926 East Raines Road, Memphis, TN, 38118",800-432-8902,,http://heavymachinesinc.com,,,,,,,35.03509903,-89.93008423,9566636,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 ~\x84A@\x00\x00\x00\x80\x86{V\xc0',59,D400085,,47
,Inland,"227 Range Road, Whitehorse, YT, Y1A 3E5",867-668-2127,,http://inland-group.com/en-ca,,,,,,,60.73181915,-135.0883789,9566666,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\xac]N@\x00\x00\x00\x00\xd4\xe2`\xc0',60,D6100128,,50
,Inland,"2900 N Island Highway, Campbell River, BC, V9W 2H5",250-287-8878,,http://inland-group.com/en-ca,,,,,,,50.04579544,-125.2700653,9566668,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\xdc\x05I@\x00\x00\x00\xc0HQ_\xc0',61,D500505,,50
,Inland,"2482 Douglas Road, Burnaby, BC, V5C 6C9",604-291-6021,,http://inland-group.com/en-ca,,,,,,,49.2624588,-122.9856796,9566669,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\x98\xa1H@\x00\x00\x00`\x15\xbf^\xc0',62,D500501,,50
,Inland,"26820 Gloucester Way, Langley, BC, V4W 3V6",604-607-8555,,http://inland-group.com/en-ca,,,,,,,49.09924698,-122.4817123,9566670,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \xb4\x8cH@\x00\x00\x00`\xd4\x9e^\xc0',63,D500500,,50
,Inland,"1560 Broadway Ave S, Williams Lake, BC, V2G 2X3",250-392-7101,,http://inland-group.com/en-ca,,,,,,,52.1230278,-122.1065826,9566663,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`\xbf\x0fJ@\x00\x00\x00@\xd2\x86^\xc0',64,D6100125,,50
,Inland,"Box 6340 Alaska Highway, Fort St. John, BC, V1J 4Y2",250-785-6105,,http://inland-group.com/en-ca,,,,,,,56.22986221,-120.8242416,9566674,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 l\x1dL@\x00\x00\x00`\xc04^\xc0',65,D500508,,50
,Inland,"865 Notre Dame Drive, Kamloops, BC, V2C 5N8",250-374-4406,,http://inland-group.com/en-ca,,,,,,,50.66308212,-120.3631897,9566673,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xdfTI@\x00\x00\x00\x80>\x17^\xc0',66,D500510,,50
,Inland,"816 Industrial Road #1, Cranbrook, BC, V1C 4C6",250-426-6205,,http://inland-group.com/en-ca,,,,,,,49.52148056,-115.7610321,9566672,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xbf\xc2H@\x00\x00\x00\xc0\xb4\xf0\\\xc0',67,D500507,,50
,Inland,"3150 Highway 97 North, Quesnel, BC, V2J 5Y9",250-992-7256,,http://inland-group.com/en-ca,,,,,,,53.00893402,-122.5038757,9566671,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0$\x81J@\x00\x00\x00\x80?\xa0^\xc0',68,D500513,,50
,Inland,"2365 Northfield Rd, Nanaimo, BC, V9S 3CS",250-758-5288,,http://inland-group.com/en-ca,,,,,,,49.1890564,-124.0006256,9566667,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x003\x98H@\x00\x00\x00@\n\x00_\xc0',69,D6100129,,50
,Inland,"1051 Middleton Way, Vernon, BC, V1B 2N3",250-545-4424,,http://inland-group.com/en-ca,,,,,,,50.24872589,-119.2524719,9566662,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\xd6\x1fI@\x00\x00\x00\x80(\xd0]\xc0',70,D500515,,50
,Inland,"1690 Fairview Road, Penticton, BC, V2A 6A8",250-492-3939,,http://inland-group.com/en-ca,,,,,,,49.47930145,-119.5953674,9566664,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0Y\xbdH@\x00\x00\x00\x80\x1a\xe6]\xc0',71,D500511,,50
,Inland,"1995 Quinn Street, Prince George, BC, V2N 2X2",250-562-8171,,http://inland-group.com/en-ca,,,,,,,53.90578842,-122.7925415,9566665,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xe0\xf0\xf3J@\x00\x00\x00\x00\xb9\xb2^\xc0',72,D500519,,50
,Itec 2000 Equipment Inc,"26 Gardiner Rd, Rosslyn, ON, ON P7K 1P0",888-574-8530,,http://itec2000.com,,,,,,,48.36256027,-89.42153931,9566637,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`h.H@\x00\x00\x00\x80\xfaZV\xc0',73,D400124,,53
,Jersey Rents,"252 Route 9, Bayville, NJ, 8721",732-606-1002,,http://jerseyrents.com,,,,,,,39.92195892,-74.16625977,9566638,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xc0\x02\xf6C@\x00\x00\x00\x00\xa4\x8aR\xc0',74,,,16
,Kelbe Bros. Equipment Co. Inc,"12770 W. Silver Spring Drive, Butler, WI, 53007",262-781-4970,,http://kelbebros.com,,,,,,,43.11774063,-88.06903076,9566639,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \x12\x8fE@\x00\x00\x00\x00k\x04V\xc0',75,D510100,,58
,Kelbe Bros. Equipment Co. Inc,"3101 French Rd, De Pere, WI, 54114",920-343-6496,,http://kelbebros.com,,,,,,,44.38190079,-88.16217804,9566641,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \xe20F@\x00\x00\x00 a\nV\xc0',76,D510103,,58
,Kelbe Bros. Equipment Co. Inc,"4621 Dutch Mill Road, Madison, WI, 53716",608-221-8300,,http://kelbebros.com,,,,,,,43.04844666,-89.30204773,9566640,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\x803\x86E@\x00\x00\x00\xc0TSV\xc0',77,D510101,,58
,"Kirby-Smith Machinery, Inc.","8320 Ruby Avenue, Kansas City, KS, 66111",913-850-6300,,http://www.kirby-smith.com,,,,,,,39.06804276,-94.77284241,9566642,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\xb5\x88C@\x00\x00\x00@v\xb1W\xc0',78,D400192,,60
Randy Phillips,LBCE Mid-Atlantic,"916-B Cavalier Blvd, Chesapeake, VA, 23323",757-485-4485,,http://lbxco.link-beltmidatlantic.com,,,,,,,36.77399445,-76.36178589,9566643,,,,"b""\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\x12cB@\x00\x00\x00\x80'\x17S\xc0""",79,D546301,,62
Randy Phillips,LBCE Mid-Atlantic,"5263 Agro Drive Suite 1, Frederick, MD, 21703",301-732-7800,,http://link-beltmidatlantic.com,,,,,,,39.34156036,-77.48851013,9566645,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00@\xb8\xabC@\x00\x00\x00\xc0C_S\xc0',80,D546303,,62
Randy Phillips,LBCE Mid-Atlantic,"10020 Lickinghole Road, Ashland, VA, 23005",804-798-2290,,http://lbxco.link-beltmidatlantic.com,,,,,,,37.70305252,-77.43998718,9566644,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\xfd\xd9B@\x00\x00\x00\xc0(\\S\xc0',81,D546300,,62
,Marshall Machinery,"348 Bethel School Rd, Honesdale, PA, 18431",570-729-7117,,http://marshall-machinery.com,,,,,,,41.57619095,-75.19001007,9566648,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00\xa0\xc0\xc9D@\x00\x00\x00 )\xccR\xc0',82,D400120,,69
,May Heavy Equipment LLC,"5423 US Highway 70 Business, Clayton, NC, 27520",919-773-1424,,http://www.mayequip.com/,,,,,,,35.83081436,-78.63105011,9566647,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 X\xeaA@\x00\x00\x00 c\xa8S\xc0',83,,,70
,McDowell B Equipment Ltd.,"2018 Kingsway, Sudbury, ON, P3B 4J8",705-566-8190,,http://bmcdowell.com,,,,,,,46.50065231,-80.92753601,9566650,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00`\x15@G@\x00\x00\x00\xc0\\;T\xc0',84,D400029,,72
,Micanic Inc.,"86 rue de Rotterdam, Saint-Augustin-de-Desmaures, QC, G3A 1S9",800-709-2241,,http://mic-a-nic.com,,,,,,,46.75485611,-71.43979645,9566651,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \x9f`G@\x00\x00\x00\xa0%\xdcQ\xc0',85,D400008,,73
Landon Boyer,Mid Country Machinery,"9206 Brewerton Road, Brewerton, NY, 13029",315-288-6473,,http://www.midcountry.com,,,,,,,43.21518326,-76.13330841,9566652,,,,b'\xe6\x10\x00\x00\x01\x0c\x00\x00\x00 \x8b\x9bE@\x00\x00\x00 \x88\x08S\xc0',86,D400121,,74
